	Duhan+Foll 1928				MW Eröffnung	MW gesamt	Differenz (%)		Puls	gemessene Takte	Teiler	Dauer Eröffnung		Puls	Takte gesamt	Teiler	Dauer gesamt			Duhan+Foll 1928	dur begin		dur full		dur total		reale Dauer Nr. 1			
1	1. Gute Nacht 	2/4	Mäßig		55.8	52.2	6.94		1/4	1-14	28.0000	30.09		1/4	136.5000	273.0000	313.74		1.1	0.740136054	30.09	1	313.74	1	313.74	1	242.23	71.502	1	ausgelassene 2. Strophe (64 Viertel)
2	2. Die Wetterfahne 	6/8	Ziemlich geschwind		53.7	45.6	17.76		3/8	0.4-22.3	44.0000	49.18		3/8	50.9167	101.8333	134.03		1.2	30.83029479	49.18	2	134.03	2	134.03	2	04:02			
3	3. Gefror’ne Tränen 	alla breve	Nicht zu langsam		49.9	48.3	3.25		1/2	1mA-16	32.5000	39.07		1/2	54.7500	109.5000	135.92		1.3	242.9736054	39.07	3	135.92	3	135.92	3				
4	4. Erstarrung 	4/4 (C)	Ziemlich schnell		152.3	135.2	12.65		1/4	1-22	88.0000	34.67		1/4	109.0000	436.0000	193.48		2.1	252.6737415	34.67	4	193.48	4	193.48	4				
5	5. Der Lindenbaum	3/4	Mäßig		58.8	59.0	-0.20		1/4	1-23	69.0000	70.36		1/4	82.0000	246.0000	250.35		2.2	301.8536054	70.36	5	250.35	5	250.35	5				
6	6. Wasserflut 	3/4	Langsam		45.2	45.8	-1.19		1/4	1-13	39.0000	51.75		1/4	60.0000	180.0000	236.00		2.3	386.7075057	51.75	6	236.00	6	236.00	6				
7	7. Auf dem Flusse 	2/4	Langsam		37.6	36.1	4.25		1/4	1-20	40.0000	63.85		1/4	74.0000	148.0000	246.29		3.1	398.0212245	63.85	7	246.29	7	246.29	7				
8	8. Rückblick 	3/4	Nicht zu geschwind		102.2	75.0	36.34		1/4	1-26.1	76.0000	44.61		1/4	69.0000	207.0000	165.66		3.2	437.0924263	44.61	8	165.66	8	165.66	8				
9	9. Irrlicht 	3/8	Langsam		54.6	48.8	11.90		1/8	1-13	39.0000	42.84		1/8	43.0000	129.0000	158.56		3.3	533.9397506	42.84	9	158.56	9	158.56	9				
10	10. Rast 	2/4	Mäßig		42.6	41.4	2.74		1/4	1-14	28.0000	39.48		1/4	67.0000	134.0000	194.11		4.1	542.4253968	39.48	10	194.11	10	194.11	10				
11	11. Frühlingstraum 	6/8	Etwas bewegt		54.6	54.1	1.00		3/8	0.6-14.5	28.0000	30.75		3/8	28.8333	57.6667	63.96		4.2	577.0927891	30.75	11a	251.96	11	63.96	11a				
